Linha,NumTrips,TotalGiros,MeanDuracao,KmPerc,PassPerTrip,FimOperação
100,2014,12503,36.13604766633565,15.862647467725917,6.208043694141013,1900-01-01
101,4105,30561,28.6721071863581,5.320330816077954,7.444823386114495,1900-01-01
104,7619,158627,36.99186244914031,11.416807323795773,20.819923874524214,1900-01-01
109,20,492,36.2,14.3465,24.6,1900-01-01
110,15864,57,21.011913767019667,7.672742057488653,0.0035930408472012103,1900-01-01
1112,9381,72545,38.09785737128238,12.364220658778383,7.733184095512206,1900-01-01
1113,12869,139525,36.082368482399566,11.484410676820266,10.8419457611314,1900-01-01
1115,20058,184533,41.930252268421576,11.17710379898295,9.19997008674843,1900-01-01
1117,12740,124014,40.13100470957614,14.269875353218211,9.734222919937206,1900-01-01
1120,5877,76589,55.59350008507742,30.946850433894845,13.031989110090182,1900-01-01
1121,14217,216671,55.60526130688612,35.86925638320321,15.24027572624323,1900-01-01
1122,6259,75169,58.54561431538585,38.926505512062626,12.009745965809234,1900-01-01
1123,6357,85062,55.212207015888,31.395268208274345,13.380840018876828,1900-01-01
1125,6506,56967,47.998155548724256,41.53468290808485,8.756071318782663,1900-01-01
1126,4869,69980,57.95543232696652,33.631142329020335,14.372561100842063,1900-01-01
1127,5276,65196,52.875094768764214,33.59065144048522,12.357088703563306,1900-01-01
1128,4613,45334,47.74853674398439,39.105300672013875,9.827444179492739,1900-01-01
1129,10152,133110,60.00197005516154,35.46178368794326,13.111702127659575,1900-01-01
131,25448,391538,30.58236403646652,6.933532301163156,15.385806350204339,1900-01-01
132,4879,54187,30.385734781717566,7.765095306415249,11.106169296987087,1900-01-01
133,35906,467199,28.942238066061382,7.398999442990029,13.011725059878572,1900-01-01
134,33717,121706,21.592905655900584,7.70633487558205,3.6096331227570664,1900-01-01
135,15178,687063,52.738107787587296,16.64386967979971,45.26703122941099,1900-01-01
136,15161,602590,53.00613416001583,16.539245168524506,39.746058967086604,1900-01-01
137,14978,585122,53.603885699025234,16.3145520096141,39.06542929630124,1900-01-01
138,14481,621643,55.145846281334165,16.444936399419927,42.928181755403635,1900-01-01
150,4027,69781,31.378693816737027,11.692402284579092,17.328284082443506,1900-01-01
151,4239,71087,33.17692852087757,13.817118660061334,16.76975701816466,1900-01-01
151V,256,6901,43.9140625,14.1468359375,26.95703125,1900-01-01
153,10182,191435,26.782459241799252,11.067751031231586,18.801316047927717,1900-01-01
154,2,26,24.0,8.6005,13.0,1900-01-01
155,5732,84937,19.30844382414515,8.289342288904397,14.818039078855548,1900-01-01
156,8,67,10.375,13.39675,8.375,1900-01-01
160,12757,161916,26.422199576702987,6.36068284079329,12.69232578192365,1900-01-01
161,12047,159108,30.208848676018928,8.419696106914584,13.207271519880468,1900-01-01
162,6551,51394,20.214623721569225,6.404141352465272,7.845214471073119,1900-01-01
163,17121,228872,20.644354885812746,5.092793586823199,13.367910752876584,1900-01-01
164,12379,156779,21.296227482026012,5.791532191614831,12.664916390661604,1900-01-01
165,23103,190120,18.058477254036273,6.404015842098429,8.229234298575943,1900-01-01
166,8,37,12.0,5.669,4.625,1900-01-01
167,2573,15694,14.458219976680917,5.75421570151574,6.099494753206374,1900-01-01
168,12778,112388,13.78431679449053,6.423703005165128,8.795429644701832,1900-01-01
169,17076,157938,15.133637854298431,6.225054345279926,9.249121574139142,1900-01-01
170,5752,52095,19.675069541029206,7.96061230876217,9.056849791376912,1900-01-01
172,3030,5578,16.918151815181517,5.786660396039605,1.840924092409241,1900-01-01
172V,1470,3139,16.48639455782313,5.130219047619048,2.135374149659864,1900-01-01
173,12049,95809,17.738733504855176,5.840317287741721,7.951614241845796,1900-01-01
173V,1513,18195,25.835426305353604,6.964639788499669,12.025776602775942,1900-01-01
174,13629,222318,23.082764692934184,9.015708122386089,16.312128549416684,1900-01-01
174V,11041,225450,25.779639525405308,9.340294357395164,20.419346073725205,1900-01-01
175,4806,78824,17.764044943820224,8.16421972534332,16.401165210153973,1900-01-01
176,8588,253340,54.58931066604565,20.361279459711227,29.499301350721936,1900-01-01
177,16681,191825,22.8660751753492,7.475208140998741,11.499610335111804,1900-01-01
178,13139,77163,16.48565339827993,8.24334401400411,5.872821371489459,1900-01-01
179,17222,197454,15.155789106956219,3.186356114272442,11.465218906050401,1900-01-01
180,6007,25385,18.913933743965373,5.605149991676377,4.225903113034793,1900-01-01
181,963,48116,50.78920041536864,20.5507476635514,49.964693665628246,1900-01-01
182,2587,11279,9.950908388094318,3.6114874371859296,4.359876304599923,1900-01-01
183,26958,425843,31.068551079456935,13.148930113509904,15.796535351287188,1900-01-01
184,33519,654175,29.650019391986635,11.330560100241653,19.516542856290464,1900-01-01
184V,1479,7528,23.228532792427316,11.720697768762678,5.089925625422583,1900-01-01
185,26023,1093929,42.55235752987742,16.01398370672098,42.037005725704184,1900-01-01
186,31348,584650,27.947907362511167,11.928733348219982,18.650312619624856,1900-01-01
187,13,0,0.5384615384615384,4.392076923076923,0.0,1900-01-01
191,4618,96757,32.15677782589866,10.059729320051972,20.952143785188394,1900-01-01
200,705,10552,68.8581560283688,44.64704964539008,14.967375886524822,1900-01-01
210,66600,482,39.49984984984985,26.654157597597596,0.007237237237237237,1900-01-01
212,2748,17,35.29403202328967,17.796414483260556,0.006186317321688501,1900-01-01
2120,12894,172643,56.91538700170622,23.19187032728401,13.389405925236543,1900-01-01
2123,479,2165,48.4321503131524,19.138054279749475,4.519832985386222,1900-01-01
2124,2189,13402,49.543170397441756,20.907075376884425,6.12243033348561,1900-01-01
